id1,id2
0,15183
1,4837
1,15291
1,15327
1,16795
4837,15291
4837,15327
4837,16795
15291,15327
15291,16795
15327,16795
2,14721
6,4121
6,4627
6,13757
6,14079
4121,4627
4121,13757
4121,14079
4627,13757
4627,14079
13757,14079
7,2378
7,3826
2378,3826
8,7798
8,15340
8,18581
7798,15340
7798,18581
15340,18581
9,7470
9,7830
9,13195
7470,7830
7470,13195
7830,13195
10,10700
12,161
12,4709
12,12660
161,4709
161,12660
4709,12660
14,6263
14,8120
14,8959
14,10744
6263,8120
6263,8959
6263,10744
8120,8959
8120,10744
8959,10744
15,10340
15,15022
10340,15022
18,5543
19,5160
19,9277
19,9780
5160,9277
5160,9780
9277,9780
20,2932
20,5984
20,15591
20,18781
2932,5984
2932,15591
2932,18781
5984,15591
5984,18781
15591,18781
21,4147
21,14032
21,19119
4147,14032
4147,19119
14032,19119
22,3894
22,15577
3894,15577
23,4130
23,6560
4130,6560
24,11322
26,10565
26,13323
26,14014
10565,13323
10565,14014
13323,14014
28,3748
28,6504
28,9887
28,11370
3748,6504
3748,9887
3748,11370
6504,9887
6504,11370
9887,11370
29,1787
29,17369
1787,17369
30,15611
31,3104
31,14102
3104,14102
32,2669
32,17210
2669,17210
34,9594
38,977
38,4787
977,4787
40,10408
41,2057
41,8392
41,14709
2057,8392
2057,14709
8392,14709
42,167
42,18625
42,18845
167,18625
167,18845
18625,18845
43,8007
43,9972
8007,9972
44,5876
44,6732
44,9114
44,16511
5876,6732
5876,9114
5876,16511
6732,9114
6732,16511
9114,16511
45,18413
46,2943
46,5184
46,11474
46,15009
2943,5184
2943,11474
2943,15009
5184,11474
5184,15009
11474,15009
47,8236
47,11779
8236,11779
49,7933
49,14190
7933,14190
50,5705
50,11686
50,14873
50,17136
5705,11686
5705,14873
5705,17136
11686,14873
11686,17136
14873,17136
51,5347
51,15141
51,16323
5347,15141
5347,16323
15141,16323
53,4195
53,12350
53,16092
4195,12350
4195,16092
12350,16092
55,1074
55,4543
1074,4543
56,2171
56,2237
56,2889
56,8521
2171,2237
2171,2889
2171,8521
2237,2889
2237,8521
2889,8521
58,8015
58,11861
58,12157
58,15213
8015,11861
8015,12157
8015,15213
11861,12157
11861,15213
12157,15213
60,3763
60,6919
3763,6919
61,12614
62,15017
63,18245
64,2115
64,6738
2115,6738
66,4237
66,7372
66,14663
66,18550
4237,7372
4237,14663
4237,18550
7372,14663
7372,18550
14663,18550
67,12280
67,13094
12280,13094
69,6469
69,13270
6469,13270
70,2403
70,17590
2403,17590
71,8360
71,13213
71,15416
71,17390
8360,13213
8360,15416
8360,17390
13213,15416
13213,17390
15416,17390
72,18081
72,18442
18081,18442
73,16936
74,16070
75,17990
76,4701
76,7135
76,9177
76,14698
4701,7135
4701,9177
4701,14698
7135,9177
7135,14698
9177,14698
77,17659
79,15381
80,6359
80,9488
80,14066
80,16468
6359,9488
6359,14066
6359,16468
9488,14066
9488,16468
14066,16468
81,7943
81,10715
81,18848
7943,10715
7943,18848
10715,18848
82,2188
83,3323
83,3765
83,12116
83,18163
3323,3765
3323,12116
3323,18163
3765,12116
3765,18163
12116,18163
84,10572
84,13484
10572,13484
86,15517
88,6107
88,10669
88,11255
88,16210
6107,10669
6107,11255
6107,16210
10669,11255
10669,16210
11255,16210
89,8480
89,8909
89,18492
8480,8909
8480,18492
8909,18492
91,126
91,14110
126,14110
92,2236
94,1766
94,7617
1766,7617
95,4532
95,14883
4532,14883
96,3375
96,6487
96,11066
96,11152
3375,6487
3375,11066
3375,11152
6487,11066
6487,11152
11066,11152
97,11350
98,5415
98,6367
98,10395
98,10518
5415,6367
5415,10395
5415,10518
6367,10395
6367,10518
10395,10518
99,1702
99,4824
99,11732
99,15448
1702,4824
1702,11732
1702,15448
4824,11732
4824,15448
11732,15448
102,15662
102,16873
15662,16873
103,9462
103,11260
103,15021
103,17458
9462,11260
9462,15021
9462,17458
11260,15021
11260,17458
15021,17458
104,833
104,9486
104,12701
833,9486
833,12701
9486,12701
105,11015
106,6193
106,6705
106,16167
6193,6705
6193,16167
6705,16167
107,4137
107,6502
107,7262
107,16881
4137,6502
4137,7262
4137,16881
6502,7262
6502,16881
7262,16881
108,8012
108,11950
8012,11950
109,16373
111,3731
111,5588
111,6410
111,18758
3731,5588
3731,6410
3731,18758
5588,6410
5588,18758
6410,18758
113,9649
113,14523
9649,14523
114,756
114,9072
114,17252
756,9072
756,17252
9072,17252
115,3604
115,5722
115,7239
3604,5722
3604,7239
5722,7239
116,8049
116,11795
116,12467
116,18381
8049,11795
8049,12467
8049,18381
11795,12467
11795,18381
12467,18381
117,7917
117,11041
117,11070
117,18821
7917,11041
7917,11070
7917,18821
11041,11070
11041,18821
11070,18821
119,7217
120,419
120,6448
120,8866
120,13827
419,6448
419,8866
419,13827
6448,8866
6448,13827
8866,13827
121,2072
121,12311
2072,12311
123,584
123,7480
123,13692
123,18688
584,7480
584,13692
584,18688
7480,13692
7480,18688
13692,18688
125,16809
127,863
127,10687
127,15177
863,10687
863,15177
10687,15177
128,861
129,11672
129,13504
11672,13504
131,5268
131,19368
5268,19368
132,2545
132,11296
2545,11296
133,6252
133,11222
133,14455
6252,11222
6252,14455
11222,14455
134,10748
135,2593
135,12548
2593,12548
137,853
137,17979
853,17979
138,2334
138,5746
2334,5746
139,12669
142,3320
142,9228
142,13879
142,18727
3320,9228
3320,13879
3320,18727
9228,13879
9228,18727
13879,18727
143,3296
143,3416
143,6133
143,8912
3296,3416
3296,6133
3296,8912
3416,6133
3416,8912
6133,8912
144,9430
146,3594
146,4348
146,11045
146,13512
3594,4348
3594,11045
3594,13512
4348,11045
4348,13512
11045,13512
147,628
147,4436
147,10222
147,18654
628,4436
628,10222
628,18654
4436,10222
4436,18654
10222,18654
148,1824
149,1758
149,4754
149,13725
149,13880
1758,4754
1758,13725
1758,13880
4754,13725
4754,13880
13725,13880
150,10713
151,9770
151,14770
9770,14770
152,9667
153,759
153,1654
153,16435
153,19374
759,1654
759,16435
759,19374
1654,16435
1654,19374
16435,19374
156,18202
157,7670
157,18708
7670,18708
158,14855
159,7890
159,10635
7890,10635
160,1372
162,13326
162,14817
13326,14817
163,13390
164,6389
164,9301
6389,9301
165,2379
165,18231
2379,18231
166,10180
166,16685
10180,16685
168,7877
169,11988
170,14411
171,1310
172,11885
173,17383
175,4518
176,1430
176,10163
176,13122
176,18496
1430,10163
1430,13122
1430,18496
10163,13122
10163,18496
13122,18496
177,3094
177,14872
177,19286
